# wavelength flux error
6.047440e+03 6.527204e-16 1.000000e-20
6.048692e+03 6.441817e-16 1.000000e-20
6.049945e+03 6.290870e-16 1.000000e-20
6.051197e+03 6.416324e-16 1.000000e-20
6.052449e+03 6.645535e-16 1.000000e-20
6.053702e+03 6.656589e-16 1.000000e-20
6.054954e+03 6.560117e-16 1.000000e-20
6.056207e+03 6.675021e-16 1.000000e-20
6.057458e+03 6.577486e-16 1.000000e-20
6.058711e+03 6.717395e-16 1.000000e-20
6.059963e+03 6.802787e-16 1.000000e-20
6.061216e+03 6.728184e-16 1.000000e-20
6.062468e+03 6.851263e-16 1.000000e-20
6.063720e+03 6.829906e-16 1.000000e-20
6.064973e+03 6.604794e-16 1.000000e-20
6.066225e+03 6.643968e-16 1.000000e-20
6.067477e+03 6.823800e-16 1.000000e-20
6.068729e+03 6.680092e-16 1.000000e-20
6.069981e+03 6.678467e-16 1.000000e-20
6.071234e+03 7.043767e-16 1.000000e-20
6.072486e+03 6.854245e-16 1.000000e-20
6.073739e+03 6.762821e-16 1.000000e-20
6.074991e+03 6.792166e-16 1.000000e-20
6.076243e+03 6.564980e-16 1.000000e-20
6.077496e+03 6.690369e-16 1.000000e-20
6.078748e+03 6.680583e-16 1.000000e-20
6.080000e+03 6.580057e-16 1.000000e-20
6.081252e+03 6.801187e-16 1.000000e-20
6.082505e+03 6.679374e-16 1.000000e-20
6.083757e+03 6.662154e-16 1.000000e-20
6.085009e+03 6.203192e-16 1.000000e-20
6.086262e+03 6.099906e-16 1.000000e-20
6.087514e+03 6.207952e-16 1.000000e-20
6.088766e+03 6.515674e-16 1.000000e-20
6.090019e+03 6.552513e-16 1.000000e-20
6.091271e+03 6.346420e-16 1.000000e-20
6.092523e+03 6.107162e-16 1.000000e-20
6.093775e+03 6.301160e-16 1.000000e-20
6.095028e+03 6.377635e-16 1.000000e-20
6.096280e+03 6.712120e-16 1.000000e-20
6.097532e+03 6.709737e-16 1.000000e-20
6.098785e+03 6.672668e-16 1.000000e-20
6.100037e+03 6.777398e-16 1.000000e-20
6.101289e+03 6.764704e-16 1.000000e-20
6.102542e+03 6.718492e-16 1.000000e-20
6.103794e+03 6.727888e-16 1.000000e-20
6.105046e+03 6.688666e-16 1.000000e-20
6.106298e+03 6.517384e-16 1.000000e-20
6.107551e+03 6.679369e-16 1.000000e-20
6.108803e+03 6.655660e-16 1.000000e-20
6.110055e+03 6.605972e-16 1.000000e-20
6.111308e+03 6.564646e-16 1.000000e-20
6.112560e+03 6.694364e-16 1.000000e-20
6.113812e+03 6.697552e-16 1.000000e-20
6.115064e+03 6.782699e-16 1.000000e-20
6.116317e+03 6.681346e-16 1.000000e-20
6.117569e+03 6.988315e-16 1.000000e-20
6.118821e+03 6.938531e-16 1.000000e-20
6.120074e+03 6.686220e-16 1.000000e-20
6.121326e+03 6.808658e-16 1.000000e-20
6.122578e+03 6.644334e-16 1.000000e-20
6.123831e+03 6.772572e-16 1.000000e-20
6.125083e+03 6.951023e-16 1.000000e-20
6.126335e+03 6.974655e-16 1.000000e-20
